127.0.0.1 - - [14/Dec/2023:15:47:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:48:03 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:48:03 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:48:03 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:49:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:49:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:49:48 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:50:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:52:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [14/Dec/2023:15:53:10 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:00:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2597
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:02:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:09:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:28 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:56 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:57 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:57 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:58 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:11:58 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:14:25 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:14:25 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:20:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:20:09 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [14/Dec/2023:16:20:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3312
