127.0.0.1 - - [23/Dec/2023:03:06:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:06:07 +0530] "GET /ORS_Project4/jsp/LoginView.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:06:07 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:06:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:13:09 +0530] "GET /ORS_Project4/jsp/LoginView.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:14:30 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:15:24 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:15:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:15:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:15:51 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:16:03 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:16:06 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:16:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:16:13 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:20:31 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:21:29 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:21:42 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:23:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:23:14 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:24:18 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:26:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:26:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:27:05 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:27:05 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:27:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:27:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:29:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:29:40 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:30:25 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:37:18 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:37:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:37:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:37:32 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:37:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:38:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:39:45 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:40:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:40:20 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:41:36 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:41:40 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2576
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:41:56 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:48:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [23/Dec/2023:03:48:43 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2448
