127.0.0.1 - - [16/Dec/2023:00:47:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:47:29 +0530] "GET /ORS_Project4/WEB-INF/classes/com/rays/pro4/Bean/CourseBean.java HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:47:29 +0530] "GET /ORS_Project4/img/Error.jpg HTTP/1.1" 200 52653
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:47:29 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:50:44 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:51:28 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:51:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:09 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:17 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:20 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:53:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:54:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:54:18 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:55:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:56:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:56:18 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:56:18 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [16/Dec/2023:01:00:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2023:01:00:34 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [16/Dec/2023:01:01:39 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12147
0:0:0:0:0:0:0:1 - - [16/Dec/2023:01:01:39 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [16/Dec/2023:01:01:39 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 606
